runbook name,description
AWSConfigRemediation-DisableSubnetAutoAssignPublicIP,"AWSConfigRemediation-DisableSubnetAutoAssignPublicIP: This runbook disables public IP address auto-assignment for a specified VPC subnet in Amazon VPC. It modifies the subnet attribute to no longer automatically assign public IP addresses to instances launched in that subnet. This runbook should be used when you want to disable public internet access for instances in a private subnet. Based on the context, it targets Amazon VPC subnets and modifies their public IP auto-assign configuration. The runbook allows disabling public IP auto-assignment to increase security and prevent unintended public internet access from EC2 instances in private subnets."
AWSSupport-EnableVPCFlowLogs,"AWSSupport-EnableVPCFlowLogs: This runbook enables Amazon VPC Flow Logs for subnets, network interfaces, and VPCs in an AWS account. It publishes flow log data to CloudWatch Logs or S3 for monitoring network traffic. This runbook is useful for enabling flow logging across an AWS VPC to gain visibility into network traffic for security and troubleshooting. Key points are that it enables flow logs at the subnet, network interface, and VPC levels, and publishes logs to CloudWatch or S3. The runbook handles the process of enabling flow logs across an AWS VPC."
AWSConfigRemediation-EnableVPCFlowLogsToCloudWatch,"AWSConfigRemediation-EnableVPCFlowLogsToCloudWatch: This runbook modifies an existing Amazon VPC flow log in AWS to send its log data to CloudWatch Logs instead of Amazon S3. It should be used when you want to centralize VPC flow log data in CloudWatch Logs for monitoring, analysis, and alerting. This runbook replaces the flow log destination from Amazon S3 to a specified CloudWatch Logs log group, providing a centralized location for VPC flow logs. It leverages AWS Systems Manager Automation to programmatically make this change across accounts and regions."
AWSConfigRemediation-EnableVPCFlowLogsToS3Bucket,"AWSConfigRemediation-EnableVPCFlowLogsToS3Bucket: This runbook replaces existing Amazon VPC flow logs that publish data to CloudWatch Logs with flow logs that publish to an S3 bucket instead. It should be used when you want to store VPC flow log data in S3 for long-term retention or analytics. By specifying an S3 bucket, this automates enabling flow logs to persistently store VPC network traffic data. It leverages AWS Systems Manager Automation to update flow log configurations. This targets Amazon VPC resources to change where flow logs are published."
AWS-ReleaseElasticIP,AWS-ReleaseElasticIP: It releases an Elastic IP address in Amazon VPC. This runbook should be used when you want to free up an Elastic IP address that is no longer needed. The runbook takes the allocation ID of the Elastic IP address as input and releases it back into the pool of available Elastic IP addresses. This can help reduce costs by freeing up Elastic IP addresses that are not in use. The runbook automates the process of releasing the Elastic IP address without needing to use the VPC console or API calls.
AWSConfigRemediation-RemoveUnrestrictedSourceIngressRules,"AWSConfigRemediation-RemoveUnrestrictedSourceIngressRules: This runbook removes all ingress rules from a specified Amazon VPC security group that allow traffic from all source IP addresses (0.0.0.0/0). It helps remediate violations of the AWS Config rule that requires restricting inbound traffic to only necessary IP addresses. This runbook should be used when you want to tighten security by removing overly permissive ingress rules. It takes the security group ID as input and iterates through the rules, deleting any that allow unrestricted inbound access. This automates the process of reviewing and restricting security group rules to least privilege access."
AWSConfigRemediation-RemoveVPCDefaultSecurityGroupRules,"AWSConfigRemediation-RemoveVPCDefaultSecurityGroupRules: This runbook removes all ingress and egress rules from the default security group of a specified VPC in AWS. It can be used to clean up overly permissive default security group rules and enforce least privilege access to resources in a VPC. By removing all rules, it essentially denies all inbound and outbound traffic to instances assigned to the default security group. This improves security by preventing unintended access. It should be used carefully to avoid breaking connectivity. Consider targeting specific rules rather than removing all default security group rules."
AWSSupport-SetupIPMonitoringFromVPC,"AWSSupport-SetupIPMonitoringFromVPC: This is an AWS SSM Automation runbook that sets up network monitoring in an Amazon VPC. It launches an Amazon EC2 instance in a specified subnet, and monitors selected target IP addresses by continuously running ping, MTR, traceroute and tracetcp tests. The results are stored in Amazon CloudWatch Logs for analyzing network patterns and trends. This runbook can be used for troubleshooting connectivity issues and monitoring network performance in a VPC. The generated logs and CloudWatch metrics allow easy visualization of latency and packet loss. CloudWatch alarms can also be configured to send notifications when thresholds are crossed."
AWSSupport-TerminateIPMonitoringFromVPC,"AWSSupport-TerminateIPMonitoringFromVPC: It terminates an IP monitoring test previously started in Amazon VPC. This runbook should be used when you want to stop and delete data related to an IP monitoring test that was initiated with AWSSupport-SetupIPMonitoringFromVPC. The runbook specifically targets tests started in Amazon VPC, so it is intended for cleaning up network monitoring in that service. Based on the description, it takes a test ID as input to know which test to terminate. This allows selectively stopping individual tests as needed."
AWSConfigRemediation-EnableWAFClassicLogging,"AWSConfigRemediation-EnableWAFClassicLogging: This runbook enables logging to Amazon Kinesis Data Firehose for a specified AWS WAF web ACL. This runbook should be used when you need to enable logging of web requests that are allowed or blocked by an AWS WAF web ACL, so that the log data can be analyzed in Kinesis Data Firehose. The runbook automates enabling WAF logging, which can otherwise require manual steps in the AWS Management Console."
AWSConfigRemediation-EnableWAFClassicRegionalLogging,AWSConfigRemediation-EnableWAFClassicRegionalLogging: This runbook enables logging of AWS WAF Classic web ACL traffic to Amazon Kinesis Data Firehose. This automates enabling WAF Classic logging to simplify compliance and security monitoring. It should be used when you need to enable logging for a WAF Classic web ACL to capture traffic data for analysis. The runbook targets a specific WAF Classic ACL and enables logging to Kinesis Firehose based on the provided configuration.
AWSConfigRemediation-EnableWAFV2Logging,"AWSConfigRemediation-EnableWAFV2Logging: This runbook enables logging for AWS WAF (AWS WAFV2) web access control lists (web ACLs) by associating a specified Amazon Kinesis Data Firehose delivery stream. It should be used when you need to turn on logging for your WAF web ACLs to capture detailed information about web requests for security analysis and auditing. This runbook automates enabling WAF logging by linking web ACLs with a Kinesis Firehose stream, avoiding the need to manually configure logging in the WAF console. Key points from the context are that it targets AWS WAFV2 web ACLs and requires a Kinesis Data Firehose delivery stream as input."
AWS-CreateWorkSpace,"AWS-CreateWorkSpace: It creates a new Amazon WorkSpaces virtual desktop, known as a WorkSpace, based on the input parameter values specified by the user. This SSM Automation runbook should be used when you need to provision a new virtual desktop environment in AWS WorkSpaces. The runbook handles launching a WorkSpace instance with the desired configuration like operating system, compute resources etc. specified by the user. It automates the process of deploying a ready-to-use cloud-based desktop environment that end users can access remotely. Consider using this runbook when you want to simplify and automate creation of new WorkSpaces instead of manually launching and configuring each one."
AWSSupport-RecoverWorkSpace,"AWSSupport-RecoverWorkSpace: This runbook performs recovery actions on Amazon WorkSpaces virtual desktops (WorkSpaces). It reboots unhealthy WorkSpaces and can restore or rebuild them based on specified input parameters. Restoring uses the most recent snapshots to recreate both root and user volumes. Rebuilding uses the bundle image and latest user volume snapshot, losing any customizations. This runbook should be used when troubleshooting and recovering unhealthy WorkSpaces, but may result in some data loss. Consider its destructive actions and review the Amazon WorkSpaces Administration Guide before running."
AWSConfigRemediation-UpdateXRayKMSKey,"AWSConfigRemediation-UpdateXRayKMSKey: It enables encryption on AWS X-Ray data using an AWS Key Management Service (AWS KMS) key in the AWS X-Ray service. This runbook should be used to encrypt X-Ray data according to minimum recommended security best practices. It can help ensure that sensitive X-Ray data is protected through encryption with a KMS key. As specified in the context, this runbook provides a baseline configuration to enable X-Ray encryption with a default KMS key. Multiple sets of X-Ray data can also be encrypted with different KMS keys based on an organization's security policies and compliance requirements."
